Age,IQ,Height,Coffee,Tea,YN
23,84,67,1,1,2
21,88,65,2,1,2
35,92,75,3,1,2
27,75,67,2,1,2
21,90,67,3,1,2
31,69,67,5,1,2
30,73,73,5,1,2
24,86,67,3,1,2
21,88,66,3,1,2
24,89,68,2,1,2
33,91,69,3,1,2
25,92,71,5,1,2
20,89,66,3,1,2
22,85,70,5,1,2
34,83,69,3,1,2
24,87,66,2,1,2
22,95,72,2,1,2
35,68,68,2,1,2
25,79,75,5,1,2
32,99,62,2,1,2
30,87,65,4,1,1
21,84,75,2,1,1
28,88,65,3,1,1
24,88,72,3,1,1
27,97,69,3,1,1
27,122,64,5,1,1
32,109,69,4,1,1
27,88,65,1,1,1
20,101,71,1,1,1
30,101,66,4,1,1
22,83,67,1,1,1
30,87,70,5,1,1
20,91,76,3,1,1
22,103,72,3,1,1
23,90,66,2,1,1
35,75,70,5,1,1
27,110,75,3,1,1
22,81,74,2,1,1
27,96,76,4,1,1
20,88,64,4,1,1
29,88,63,2,1,1
22,83,72,4,1,1
34,83,71,2,1,1
28,95,64,4,1,1
22,105,68,3,1,1
27,96,67,2,1,1
26,82,66,4,1,1
34,91,70,2,1,1
33,80,67,3,1,1
20,92,70,2,1,1
23,85,78,3,1,1
30,84,73,3,1,1
33,84,73,3,1,1
34,96,64,1,1,1
25,103,69,2,1,1
34,97,69,5,1,1
23,75,70,3,1,1
30,92,73,3,1,1
34,94,75,3,1,1
21,84,63,3,1,1
29,89,69,3,1,1
32,92,69,2,1,1
21,84,72,3,1,1
24,79,66,3,1,1
24,86,68,4,1,1
26,66,64,3,1,1
29,77,64,1,1,1
26,86,75,2,1,1
24,103,66,3,1,1
21,90,67,5,1,1
25,87,71,3,1,1
24,91,64,3,1,1
33,91,68,5,1,1
29,105,61,3,1,1
34,92,72,3,1,1
25,89,70,5,1,1
24,95,69,3,1,1
23,82,68,3,1,1
26,86,66,3,1,1
24,97,68,2,1,1
28,86,65,4,1,1
26,98,66,2,1,1
20,85,68,1,1,1
33,79,68,2,1,1
28,100,69,2,1,1
34,101,70,4,1,1
30,88,70,5,1,1
23,77,72,4,1,1
27,81,68,3,1,1
27,98,72,3,1,1
34,113,62,1,1,1
26,79,67,4,1,1
30,115,72,4,1,1
30,88,70,5,1,1
29,95,72,3,1,1
22,79,71,5,1,1
23,100,75,2,1,1
22,82,65,5,1,1
24,80,71,3,1,1
35,96,64,3,1,1
30,101,71,3,1,1
28,89,73,3,1,1
31,94,63,5,1,1
33,94,65,3,1,1
31,84,67,5,1,1
20,96,72,1,1,1
35,79,71,5,1,1
27,95,71,3,1,1
25,95,68,5,1,1
30,82,61,4,1,1
35,84,71,2,1,1
26,94,67,5,1,1
26,99,65,4,1,1
22,93,67,3,1,1
35,86,63,2,1,1
26,73,60,3,1,1
28,77,75,4,1,1
29,95,66,1,1,1
24,89,69,5,1,1
26,93,72,2,1,1
34,89,72,2,1,1
32,81,66,2,1,1
20,93,67,2,1,1
32,93,74,4,1,1
20,96,72,4,1,1
30,86,71,3,1,1
25,84,63,4,1,1
35,95,71,2,1,1
26,97,71,4,1,1
27,80,65,2,1,1
32,71,69,5,1,1
32,92,69,5,1,1
26,87,74,3,1,1
22,92,70,3,1,1
35,81,68,4,1,1
28,83,64,3,1,1
23,89,66,5,1,1
20,93,72,2,1,1
34,98,66,1,1,1
22,86,65,2,1,1
26,105,66,3,1,1
27,101,73,4,1,1
35,82,70,5,1,1
27,101,74,2,1,1
26,74,68,1,1,1
23,81,62,3,1,1
22,91,73,4,1,1
34,87,70,3,1,1
34,85,71,1,1,1
31,80,69,2,1,1
21,102,67,3,2,1
25,105,69,3,2,1
25,92,68,3,2,1
25,107,72,1,2,1
22,97,68,2,2,1
22,99,65,3,2,1
29,94,69,1,2,1
32,110,77,1,2,1
30,102,74,2,2,1
34,96,72,3,2,1
29,86,70,2,2,1
33,92,73,5,2,1
34,98,67,3,2,1
32,95,72,5,2,1
27,106,72,2,2,1
20,106,67,3,2,1
20,76,66,4,2,1
23,89,66,5,2,1
23,73,69,3,2,1
20,117,70,3,2,1
30,98,67,3,2,1
20,91,71,3,2,1
28,122,70,4,2,1
35,97,70,3,2,1
26,90,67,3,2,1
21,92,68,4,2,1
35,68,71,3,2,1
24,98,64,3,2,1
31,94,70,3,2,1
34,108,76,5,2,1
24,110,75,2,2,1
32,103,73,1,2,1
21,102,70,4,2,1
22,82,74,5,2,1
29,103,69,4,2,1
27,94,66,2,2,1
21,106,70,3,2,1
23,86,71,5,2,1
30,105,74,3,2,1
30,115,64,3,2,1
26,99,68,2,2,1
33,122,76,3,2,1
33,93,70,4,2,1
31,91,66,2,2,1
21,93,71,3,2,1
29,93,68,3,2,1
32,112,74,2,2,1
22,91,69,5,2,1
31,93,69,4,2,1
23,101,72,2,2,1
23,101,69,3,2,1
31,105,72,2,2,1
34,92,76,2,2,1
35,100,71,3,2,1
22,90,76,1,2,1
35,113,72,3,2,1
29,104,68,2,2,1
34,89,65,5,2,1
28,93,70,2,2,1
24,83,77,2,2,1
33,86,71,2,2,1
21,109,67,3,2,1
28,71,69,5,2,1
34,96,66,3,2,1
32,94,66,2,2,1
28,104,67,4,2,1
20,87,71,1,2,1
24,102,65,1,2,1
26,112,70,3,2,1
30,106,67,5,2,1
29,107,68,3,2,1
35,114,72,4,2,1
26,101,73,4,2,1
23,113,67,2,2,1
35,102,63,1,2,1
24,93,70,3,2,1
35,98,68,5,2,1
32,119,63,3,2,1
27,108,74,4,2,1
26,103,67,1,2,1
31,96,71,5,2,1
33,105,62,3,2,1
35,102,64,1,2,1
29,92,70,5,2,1
21,110,67,2,2,1
20,112,75,5,2,1
20,98,73,3,2,1
29,110,72,2,2,1
30,104,69,5,2,1
33,97,69,4,2,1
35,99,70,1,2,1
24,95,64,2,2,1
35,119,70,5,2,1
22,98,65,3,2,1
28,98,65,1,2,1
29,91,64,2,2,1
20,101,78,2,2,1
21,98,63,3,2,1
22,117,77,4,2,1
32,94,63,3,2,1
35,89,67,3,2,2
33,104,64,3,2,2
27,114,70,4,2,2
26,97,71,3,2,2
24,101,63,4,2,2
26,90,74,3,2,2
35,110,65,4,2,2
27,84,76,5,2,2
24,81,68,3,2,2
27,97,69,1,2,2
21,111,62,1,2,2
25,112,74,4,2,2
28,121,73,4,2,2
25,95,72,4,2,2
21,107,79,3,2,2
28,108,62,4,2,2
30,108,71,3,2,2
35,104,69,4,2,2
24,102,71,3,2,2
28,116,64,3,2,2
29,94,63,5,2,2
24,108,72,4,2,2
28,92,70,4,2,2
23,109,70,2,2,2
26,99,68,3,2,2
20,106,69,2,2,2
27,103,71,2,2,2
29,117,75,4,2,2
30,95,65,3,2,2
33,96,63,2,2,2
35,96,73,3,2,2
23,114,70,4,2,2
33,129,76,2,2,2
24,102,66,3,2,2
27,113,70,3,2,2
25,104,67,3,2,2
35,103,73,2,2,2
25,69,67,4,2,2
25,92,69,5,2,2
30,91,70,1,2,2
28,100,70,2,2,2
25,82,68,4,2,2
28,115,68,2,2,2
34,106,69,2,2,2
34,120,70,3,2,2
31,109,74,3,2,2
27,113,70,3,2,2
31,107,68,2,2,2
33,94,67,3,2,2
34,108,73,3,2,2
30,102,65,4,2,2
33,107,69,4,2,2
33,110,65,3,2,2
26,103,69,3,2,2
29,109,64,4,2,2
24,105,74,3,2,2
23,85,68,2,2,2
34,90,70,3,2,2
32,113,72,3,2,2
25,96,69,2,2,2
35,81,67,3,2,2
33,115,65,3,2,2
21,99,64,3,2,2
21,106,76,2,2,2
24,95,75,4,2,2
31,97,69,2,2,2
20,91,67,5,2,2
32,89,68,4,2,2
32,104,72,4,2,2
28,97,68,4,2,2
21,91,69,4,2,2
31,100,70,3,2,2
27,103,72,2,2,2
29,80,66,2,2,2
35,99,75,3,2,2
24,100,69,2,2,2
30,108,66,5,2,2
31,110,63,5,2,2
26,100,64,3,2,2
31,116,74,2,2,2
32,109,67,2,2,2
25,104,74,5,2,2
24,102,69,3,2,2
29,84,68,4,2,2
34,109,69,4,2,2
27,112,72,1,2,2
24,114,68,3,2,2
33,103,69,1,2,2
26,96,70,3,2,2
29,96,73,3,2,2
30,97,76,3,2,2
24,102,74,2,2,2
32,100,70,5,2,2
24,98,62,3,2,2
24,101,64,1,2,2
34,113,71,3,2,2
31,97,59,5,2,2
21,89,66,3,2,2
25,112,69,3,2,2
31,110,77,3,2,2
27,109,68,3,2,2
31,132,67,1,2,2
21,123,74,2,3,1
31,120,67,4,3,1
34,99,67,2,3,1
29,109,68,4,3,1
21,87,68,2,3,1
24,122,65,2,3,1
34,130,69,3,3,1
33,128,65,3,3,1
30,115,65,3,3,1
20,121,77,3,3,1
30,114,69,3,3,1
29,104,68,4,3,1
26,119,73,3,3,1
27,129,69,5,3,1
32,131,65,2,3,1
21,113,66,3,3,1
26,123,71,4,3,1
25,120,72,4,3,1
30,111,66,4,3,1
26,97,72,4,3,1
31,98,66,2,3,2
33,106,72,3,3,2
31,119,65,2,3,2
21,109,66,4,3,2
35,122,74,3,3,2
24,105,70,3,3,2
32,117,68,3,3,2
31,117,76,3,3,2
27,108,71,4,3,2
29,107,70,5,3,2
30,100,63,3,3,2
23,118,69,1,3,2
21,114,69,3,3,2
32,104,67,3,3,2
28,115,65,3,3,2
33,118,70,2,3,2
22,117,70,2,3,2
22,136,75,4,3,2
28,109,68,3,3,2
22,112,66,2,3,2
27,108,64,3,3,2
29,114,67,1,3,2
35,125,71,4,3,2
33,92,76,4,3,2
30,117,70,3,3,2
28,111,66,3,3,2
26,123,70,2,3,2
28,130,72,3,3,2
25,115,76,5,3,2
33,121,70,4,3,2
33,99,72,3,3,2
26,101,74,3,3,2
31,135,66,3,3,2
22,137,73,2,3,2
27,119,66,1,3,2
35,82,72,3,3,2
34,127,66,1,3,2
22,113,66,4,3,2
21,106,63,1,3,2
20,124,68,3,3,2
24,115,70,4,3,2
32,89,71,1,3,2
24,105,74,3,3,2
25,127,67,5,3,2
27,107,75,4,3,2
25,107,68,4,3,2
26,114,78,5,3,2
26,89,66,1,3,2
24,107,74,4,3,2
30,111,69,3,3,2
35,109,73,4,3,2
22,116,72,3,3,2
22,111,67,5,3,2
32,114,64,3,3,2
32,104,66,1,3,2
25,111,72,4,3,2
23,129,72,3,3,2
26,116,61,3,3,2
34,109,68,2,3,2
26,96,66,4,3,2
28,117,63,1,3,2
33,109,65,3,3,2
33,117,70,4,3,2
20,132,61,3,3,2
23,101,79,4,3,2
30,106,65,1,3,2
27,98,71,4,3,2
28,123,75,1,3,2
27,98,67,4,3,2
25,117,75,3,3,2
35,110,61,3,3,2
34,113,71,3,3,2
22,102,69,4,3,2
20,97,65,4,3,2
30,120,69,4,3,2
35,127,65,4,3,2
23,110,67,3,3,2
20,105,73,3,3,2
35,117,69,4,3,2
25,99,63,3,3,2
30,121,65,3,3,2
22,106,69,3,3,2
25,109,62,3,3,2
27,101,68,5,3,2
28,114,69,5,3,2
22,96,66,2,3,2
23,105,73,3,3,2
34,105,71,3,3,2
31,79,74,5,3,2
22,122,68,3,3,2
35,98,74,5,3,2
26,117,62,4,3,2
21,113,69,4,3,2
21,118,71,3,3,2
30,96,73,2,3,2
29,88,64,2,3,2
25,106,69,3,3,2
33,101,67,3,3,2
20,108,69,3,3,2
26,98,71,3,3,2
20,104,71,2,3,2
23,123,71,3,3,2
30,113,69,3,3,2
32,119,68,3,3,2
23,104,72,3,3,2
25,129,67,1,3,2
31,114,72,2,3,2
23,134,65,5,3,2
29,112,70,3,3,2
24,107,67,2,3,2
34,126,74,2,3,2
28,114,68,4,3,2
29,101,67,3,3,2
35,132,66,2,3,2
24,113,65,3,3,2
20,111,69,2,3,2
33,92,74,3,3,2
30,86,63,2,3,2
32,104,64,3,3,2
26,114,73,5,3,2
22,110,71,3,3,2
22,94,75,3,3,2
26,108,69,3,3,2
23,111,70,3,3,2
24,119,68,4,3,2
24,123,69,2,3,2
33,98,70,2,3,2
35,123,73,3,3,2
