id,gender,mathPre,readPre,group,score1,score2,pass
1,0,55.15,56.31,mnemonic,48.33,68.74,1
2,1,53.3,30.45,mnemonic,45.91,43.89,0
3,1,56.96,69.53,cram,55.98,84.43,1
4,1,55.64,38.25,mnemonic,52.81,38.24,0
5,1,48.14,60.25,mnemonic,53.7,54.46,1
6,0,49.07,61.91,cram,46.3,61.31,1
7,1,47.84,57.18,cram,51.59,58.03,1
8,0,38.79,48.95,mnemonic,58.24,47.94,1
9,0,33.24,53.43,mnemonic,45.17,51.55,0
10,0,46.73,43.05,cram,40.02,44.94,0
11,1,39.56,55.37,mnemonic,43.1,37.84,0
12,1,53.56,48.68,mnemonic,45.61,56.19,1
13,0,60.95,38.25,cram,40.51,55.04,0
14,1,47.48,42.95,cram,48.49,47.42,0
15,1,46.51,38.17,none,40.02,37.22,0
16,1,42.86,43.56,mnemonic,49.24,36.53,0
17,0,43.18,64.09,none,42.21,56.46,0
18,1,38.69,55.34,mnemonic,49.6,44.08,0
19,0,57.89,67.71,mnemonic,52.81,76.06,1
20,1,51.8,45.83,cram,47.81,57.16,1
21,0,62.48,70.11,cram,69.62,95,1
22,1,27.73,41.23,none,46.86,32.71,0
23,1,44.79,38.53,none,43.2,34.36,0
24,1,42.73,39.1,none,40.48,31.88,0
25,1,42.28,63.54,mnemonic,50.72,62.87,1
26,1,38.97,44.75,cram,40.36,35.18,0
27,0,57.4,51.82,mnemonic,67.98,60.35,1
28,1,,60.3,none,53.01,33.8,0
29,0,40.18,48.42,mnemonic,49.73,37.71,0
30,1,59.25,46.59,none,45.95,49.14,0
31,1,39.77,44.83,mnemonic,37.75,41.52,0
32,1,51.11,60.95,none,60.74,61.26,1
33,1,56.43,36.79,cram,49.89,46.92,0
34,0,39.84,34.97,mnemonic,33.85,33.68,0
35,1,60.52,44.73,none,56.27,53.1,1
36,0,54.8,45.28,none,52.05,46.85,0
37,1,59.16,46.34,none,49.94,64.4,1
38,0,39.86,47.34,none,33.62,43.68,0
39,0,39,54.28,cram,51.4,45.47,0
40,1,41.85,52.23,cram,36.73,48.04,0
41,0,68.85,47.29,none,70.86,78.01,1
42,1,36.17,61.58,none,52.89,46.01,0
43,1,62.43,41.1,cram,49.37,53.32,1
44,1,38.12,56.89,cram,49.19,55.25,1
45,1,40.42,51.9,cram,44.74,53.07,0
46,1,56.03,40.83,mnemonic,46.91,38.81,0
47,0,50.45,60.2,none,60.48,69.58,1
48,0,65.23,65.03,mnemonic,60.14,81.04,1
